               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.115,             0.05883,            0.038384,                   0,                   0,                   0,                   0,            0.080511,            0.042006,            0.027192,              0.0006,              0.0006,              0.0946
                   1,             0.10964,            0.062001,            0.038928,           0.0010626,               0.125,          0.00066446,          0.00017754,            0.076526,            0.043154,            0.027051,           0.0012871,           0.0012871,            0.088287
                   2,             0.10413,            0.064098,            0.038915,           0.0025403,             0.22917,           0.0018049,          0.00042093,            0.071498,             0.04437,            0.026529,           0.0019604,           0.0019604,             0.08196
                   3,            0.093314,            0.056197,            0.036851,           0.0059854,             0.45833,           0.0053395,           0.0010694,             0.06738,            0.045844,            0.026208,           0.0026198,           0.0026198,             0.07562
                   4,            0.089351,             0.06486,            0.034318,            0.013785,               0.875,            0.066243,            0.018263,            0.059883,            0.047814,            0.024367,           0.0032654,           0.0032654,            0.069265
                   5,             0.08815,            0.068612,            0.033551,             0.12865,             0.41667,             0.19716,            0.083625,            0.055117,             0.04802,            0.022809,            0.003897,            0.003897,            0.062897
                   6,            0.087675,            0.072992,            0.034353,             0.12865,             0.41667,             0.19716,            0.083625,            0.055117,             0.04802,            0.022809,           0.0045149,           0.0045149,            0.056515
                   7,            0.086431,            0.069498,            0.034097,             0.61301,             0.29167,             0.32806,             0.11077,            0.053748,            0.046379,            0.021988,           0.0051188,           0.0051188,            0.050119
                   8,            0.086234,            0.062749,            0.032015,             0.57988,             0.32796,              0.4107,             0.15996,            0.050157,            0.045338,            0.020967,            0.005709,            0.005709,            0.043709
                   9,            0.084756,            0.064397,            0.033551,             0.57988,             0.32796,              0.4107,             0.15996,            0.050157,            0.045338,            0.020967,           0.0062852,           0.0062852,            0.037285
                  10,            0.075051,            0.059523,             0.03014,             0.33666,             0.58333,              0.4809,             0.20569,            0.048142,             0.04493,            0.021211,           0.0068476,           0.0068476,            0.030848
                  11,            0.062441,            0.045286,            0.032034,             0.33666,             0.58333,              0.4809,             0.20569,            0.048142,             0.04493,            0.021211,           0.0073961,           0.0073961,            0.024396
                  12,            0.075983,            0.058294,            0.028003,             0.28926,             0.58333,             0.53523,             0.16317,            0.051441,            0.045353,            0.021073,           0.0079308,           0.0079308,            0.017931
                  13,            0.074592,            0.060639,             0.02971,             0.28926,             0.58333,             0.53523,             0.16317,            0.051441,            0.045353,            0.021073,           0.0084516,           0.0084516,            0.011452
                  14,            0.072108,            0.053626,            0.028711,             0.84226,             0.25526,             0.22737,            0.055231,            0.061978,            0.043177,            0.020832,            0.008614,            0.008614,            0.008614
                  15,            0.081072,             0.04928,            0.029276,             0.84226,             0.25526,             0.22737,            0.055231,            0.061978,            0.043177,            0.020832,            0.008614,            0.008614,            0.008614
                  16,            0.077943,             0.04923,            0.028064,            0.044002,             0.60417,            0.056171,            0.023896,             0.07316,            0.039395,            0.018163,            0.008515,            0.008515,            0.008515
                  17,            0.088557,            0.045296,            0.025272,            0.044002,             0.60417,            0.056171,            0.023896,             0.07316,            0.039395,            0.018163,            0.008416,            0.008416,            0.008416
