               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13062,             0.11011,            0.044209,           0.0024308,             0.20312,           0.0033285,          0.00075986,             0.14048,             0.11459,            0.051085,              0.0006,              0.0006,              0.0946
                   1,             0.12683,             0.12621,            0.046773,           0.0032154,             0.26562,           0.0037405,           0.0010306,             0.13577,             0.13731,            0.049316,           0.0012871,           0.0012871,            0.088287
                   2,             0.12405,             0.12993,             0.04414,           0.0032636,             0.23438,           0.0042606,          0.00059012,             0.12784,             0.15203,            0.047191,           0.0019604,           0.0019604,             0.08196
                   3,             0.11823,             0.14994,            0.044045,           0.0039978,             0.23438,           0.0049308,          0.00065718,             0.12353,             0.15072,            0.045655,           0.0026198,           0.0026198,             0.07562
                   4,             0.11878,             0.14402,            0.041795,           0.0024369,             0.10982,           0.0015134,            0.000372,             0.11427,             0.13559,            0.041505,           0.0032654,           0.0032654,            0.069265
                   5,             0.11317,             0.16874,            0.040229,           0.0002446,          0.00022482,          9.4312e-05,          9.4312e-06,             0.10937,              0.1289,            0.036937,            0.003897,            0.003897,            0.062897
                   6,             0.11013,             0.13226,            0.037094,           0.0002446,          0.00022482,          9.4312e-05,          9.4312e-06,             0.10937,             0.12934,            0.036937,           0.0045149,           0.0045149,            0.056515
                   7,              0.1111,              0.1438,            0.036618,           0.0015987,           0.0022482,          0.00077882,          0.00019442,             0.11069,             0.15082,            0.034395,           0.0051188,           0.0051188,            0.050119
                   8,             0.10842,             0.14734,            0.034835,          0.00055066,          0.00089928,          0.00028472,          2.8472e-05,             0.10473,             0.12356,            0.032132,            0.005709,            0.005709,            0.043709
                   9,             0.10657,             0.11954,            0.034227,          0.00047348,          0.00077081,          0.00024724,          2.4724e-05,             0.10473,             0.12339,            0.032132,           0.0062852,           0.0062852,            0.037285
                  10,             0.10646,             0.12732,             0.03206,             0.01463,            0.080148,           0.0096438,           0.0040355,            0.099026,             0.12207,            0.029262,           0.0068476,           0.0068476,            0.030848
                  11,             0.10278,             0.13256,            0.031975,             0.01463,            0.080148,           0.0096438,           0.0040355,            0.099026,             0.12212,            0.029262,           0.0073961,           0.0073961,            0.024396
                  12,             0.10322,             0.12093,            0.030744,            0.032161,             0.33892,            0.048981,            0.021274,            0.096917,             0.12326,            0.027306,           0.0079308,           0.0079308,            0.017931
                  13,             0.10236,             0.13019,            0.030701,            0.032161,             0.33892,            0.048981,            0.021274,            0.096917,             0.12358,            0.027306,           0.0084516,           0.0084516,            0.011452
                  14,             0.10035,             0.12246,            0.029204,             0.35101,             0.19704,              0.1163,            0.024747,             0.10281,             0.11691,            0.025242,            0.008614,            0.008614,            0.008614
                  15,             0.09728,             0.12269,            0.028333,             0.35101,             0.19704,              0.1163,            0.024747,             0.10281,             0.11678,            0.025242,            0.008614,            0.008614,            0.008614
                  16,             0.10386,             0.11857,            0.028059,            0.017392,             0.36477,             0.01787,           0.0056517,             0.12106,             0.12197,            0.022777,            0.008515,            0.008515,            0.008515
                  17,             0.11325,              0.1302,            0.025286,            0.017392,             0.36477,             0.01787,           0.0056517,             0.12106,             0.12145,            0.022777,            0.008416,            0.008416,            0.008416
                  18,             0.11335,             0.10521,            0.025955,            0.017392,             0.36477,             0.01787,           0.0056517,             0.12106,             0.12156,            0.022777,            0.008317,            0.008317,            0.008317
                  19,             0.11808,             0.12254,             0.02574,            0.020264,              0.3804,            0.022448,            0.008733,              0.1204,             0.12133,            0.021549,            0.008218,            0.008218,            0.008218
                  20,              0.1166,             0.10168,            0.024822,            0.020264,              0.3804,            0.022448,            0.008733,              0.1204,             0.12128,            0.021549,            0.008119,            0.008119,            0.008119
                  21,             0.11265,             0.10735,             0.02328,            0.068254,             0.53417,            0.099927,            0.035431,             0.11224,             0.11813,            0.021043,             0.00802,             0.00802,             0.00802
                  22,             0.11294,             0.12026,            0.023783,            0.068254,             0.53417,            0.099927,            0.035431,             0.11224,             0.11881,            0.021043,            0.007921,            0.007921,            0.007921
                  23,             0.11067,             0.10837,            0.023777,             0.28509,             0.30531,             0.32294,             0.14914,             0.10054,             0.12863,            0.019783,            0.007822,            0.007822,            0.007822
                  24,             0.10709,             0.11456,            0.023941,             0.28509,             0.30531,             0.32294,             0.14914,             0.10054,             0.12868,            0.019783,            0.007723,            0.007723,            0.007723
                  25,             0.10337,             0.10674,            0.023367,             0.52045,             0.45312,             0.42535,            0.061278,            0.097049,             0.12073,            0.020063,            0.007624,            0.007624,            0.007624
                  26,            0.096146,             0.13667,            0.021473,             0.52045,             0.45312,             0.42535,            0.061278,            0.097049,             0.12067,            0.020063,            0.007525,            0.007525,            0.007525
                  27,            0.099773,             0.11546,            0.022636,             0.52045,             0.45312,             0.42535,            0.061278,            0.097049,             0.12089,            0.020063,            0.007426,            0.007426,            0.007426
                  28,            0.098121,             0.11162,            0.022162,             0.49536,             0.45241,             0.35025,             0.08789,            0.093611,             0.13252,            0.019585,            0.007327,            0.007327,            0.007327
                  29,              0.0985,             0.14845,            0.022123,             0.49536,             0.45241,             0.35025,             0.08789,            0.093611,              0.1326,            0.019585,            0.007228,            0.007228,            0.007228
                  30,            0.098268,             0.12421,            0.021456,             0.32703,             0.37657,             0.32889,             0.10084,            0.086178,             0.13439,            0.018617,            0.007129,            0.007129,            0.007129
                  31,            0.095805,             0.12807,            0.021244,             0.32703,             0.37657,             0.32889,             0.10084,            0.086178,             0.13456,            0.018617,             0.00703,             0.00703,             0.00703
                  32,            0.093353,             0.12688,            0.021093,             0.55391,              0.3478,              0.4259,              0.1744,            0.082926,             0.12084,            0.017537,            0.006931,            0.006931,            0.006931
                  33,            0.089441,             0.11084,            0.019992,             0.55391,              0.3478,              0.4259,              0.1744,            0.082926,             0.12087,            0.017537,            0.006832,            0.006832,            0.006832
                  34,            0.089814,             0.11734,              0.0206,             0.55391,              0.3478,              0.4259,              0.1744,            0.082926,             0.12133,            0.017537,            0.006733,            0.006733,            0.006733
                  35,            0.091353,            0.099841,            0.020149,             0.69417,             0.39242,             0.53696,             0.27319,            0.081364,             0.11174,            0.017235,            0.006634,            0.006634,            0.006634
                  36,            0.089634,             0.11176,            0.019277,             0.69417,             0.39242,             0.53696,             0.27319,            0.081364,             0.11161,            0.017235,            0.006535,            0.006535,            0.006535
