               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12305,             0.48835,                   0,           0.0038095,             0.01581,           0.0021542,          0.00039991,             0.11705,             0.46309,                   0,              0.0006,              0.0006,              0.0946
                   1,             0.12115,             0.51234,                   0,             0.00625,            0.026362,           0.0033407,          0.00059999,               0.116,             0.43575,                   0,           0.0012871,           0.0012871,            0.088287
                   2,             0.12032,             0.50236,                   0,            0.051429,             0.21344,             0.03385,           0.0078797,             0.11329,             0.40383,                   0,           0.0019604,           0.0019604,             0.08196
                   3,             0.11892,             0.48236,                   0,             0.16348,             0.45652,             0.14198,            0.038066,             0.11281,             0.35556,                   0,           0.0026198,           0.0026198,             0.07562
                   4,             0.11864,             0.46279,                   0,             0.19704,             0.72326,             0.18862,            0.046788,             0.11436,             0.83938,                   0,           0.0032654,           0.0032654,            0.069265
                   5,             0.11502,             0.42141,                   0,              0.2521,               0.583,             0.26392,            0.061393,             0.11182,             0.50455,                   0,            0.003897,            0.003897,            0.062897
                   6,             0.11364,             0.42338,                   0,              0.2521,               0.583,             0.26392,            0.061393,             0.11182,             0.50477,                   0,           0.0045149,           0.0045149,            0.056515
                   7,             0.11062,             0.43018,                   0,             0.25971,             0.73913,             0.42353,            0.099402,             0.11076,              0.7259,                   0,           0.0051188,           0.0051188,            0.050119
                   8,             0.11068,             0.44372,                   0,             0.32996,             0.65109,             0.47907,             0.11272,             0.10931,             0.60484,                   0,            0.005709,            0.005709,            0.043709
                   9,             0.11222,             0.44405,                   0,             0.32996,             0.65109,             0.47907,             0.11272,             0.10931,             0.60544,                   0,           0.0062852,           0.0062852,            0.037285
                  10,             0.11255,             0.44265,                   0,             0.16333,             0.67787,             0.14367,            0.029957,              0.1084,             0.55527,                   0,           0.0068476,           0.0068476,            0.030848
                  11,             0.10787,             0.37848,                   0,             0.16333,             0.67787,             0.14367,            0.029957,              0.1084,             0.55548,                   0,           0.0073961,           0.0073961,            0.024396
                  12,             0.11087,             0.37386,                   0,             0.14095,             0.58498,              0.1166,            0.024775,             0.10817,             0.47901,                   0,           0.0079308,           0.0079308,            0.017931
                  13,             0.11002,             0.36946,                   0,             0.14095,             0.58498,              0.1166,            0.024775,             0.10817,             0.47919,                   0,           0.0084516,           0.0084516,            0.011452
                  14,             0.10729,             0.40122,                   0,             0.27748,             0.63439,             0.26675,            0.061697,             0.10544,             0.32545,                   0,            0.008614,            0.008614,            0.008614
                  15,             0.10578,             0.40353,                   0,             0.27748,             0.63439,             0.26675,            0.061697,             0.10544,             0.32545,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.10219,             0.36905,                   0,             0.21364,             0.74651,             0.25938,            0.051722,             0.10996,              1.0085,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.10508,             0.49936,                   0,              0.2143,             0.76098,             0.27044,             0.05276,             0.10996,              1.0087,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.10576,             0.48768,                   0,              0.2143,             0.76098,             0.27044,             0.05276,             0.10996,              1.0087,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.10154,             0.37897,                   0,             0.26215,             0.84534,             0.37955,            0.085991,             0.10797,             0.62884,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.10227,             0.42612,                   0,             0.26215,             0.84534,             0.37955,            0.085991,             0.10797,             0.62919,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.097027,             0.34772,                   0,             0.41427,             0.63394,              0.4434,             0.14058,            0.096609,             0.31555,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.093324,             0.42908,                   0,             0.41427,             0.63394,              0.4434,             0.14058,            0.096609,             0.31612,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.096367,             0.46011,                   0,              0.1832,             0.75747,             0.17632,            0.044746,            0.095387,             0.88453,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.090347,             0.52911,                   0,              0.1832,             0.75747,             0.17632,            0.044746,            0.095387,             0.88449,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.09628,             0.53184,                   0,             0.27256,             0.81371,             0.27254,            0.073509,            0.085581,             0.63335,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.085768,             0.74706,                   0,             0.27256,             0.81371,             0.27254,            0.073509,            0.085581,              0.6344,                   0,            0.007525,            0.007525,            0.007525
