               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11963,             0.12254,            0.051159,                   0,                   0,                   0,                   0,             0.13143,            0.069404,            0.053698,              0.0006,              0.0006,              0.0946
                   1,             0.11741,             0.11671,            0.051322,            0.003441,              0.1875,           0.0030383,           0.0011703,              0.1279,            0.073583,            0.052556,           0.0012871,           0.0012871,            0.088287
                   2,             0.11368,             0.12374,            0.049749,            0.010881,             0.17857,            0.012834,           0.0027787,             0.12215,            0.078976,            0.050873,           0.0019604,           0.0019604,             0.08196
                   3,             0.10679,             0.12449,              0.0492,           0.0050505,            0.035714,           0.0041412,          0.00085514,             0.11898,            0.083031,            0.050105,           0.0026198,           0.0026198,             0.07562
                   4,             0.10268,             0.15887,             0.04836,            0.019598,                 0.5,            0.034209,           0.0075491,              0.1055,            0.093762,            0.048155,           0.0032654,           0.0032654,            0.069265
                   5,            0.096163,             0.13681,            0.045799,            0.017869,             0.51786,             0.10526,            0.042975,             0.08957,             0.10215,            0.045405,            0.003897,            0.003897,            0.062897
                   6,            0.091084,             0.13782,            0.043566,            0.017869,             0.51786,             0.10526,            0.042975,             0.08957,             0.10215,            0.045405,           0.0045149,           0.0045149,            0.056515
                   7,            0.090379,             0.14304,            0.042023,            0.089776,            0.071429,             0.14885,            0.035619,            0.079428,             0.10587,            0.044314,           0.0051188,           0.0051188,            0.050119
                   8,            0.088002,             0.15939,            0.041107,             0.17115,             0.67857,               0.288,            0.059362,             0.07057,             0.10551,            0.039523,            0.005709,            0.005709,            0.043709
                   9,            0.084166,             0.15154,            0.039241,             0.17115,             0.67857,               0.288,            0.059362,             0.07057,             0.10551,            0.039523,           0.0062852,           0.0062852,            0.037285
                  10,            0.089471,             0.14934,            0.038732,             0.32002,             0.70975,             0.53304,             0.17126,            0.067437,             0.10556,             0.03589,           0.0068476,           0.0068476,            0.030848
                  11,            0.082945,             0.14634,            0.037658,             0.32002,             0.70975,             0.53304,             0.17126,            0.067437,             0.10556,             0.03589,           0.0073961,           0.0073961,            0.024396
                  12,            0.086773,             0.14667,            0.036828,             0.12953,             0.38121,             0.19357,            0.068533,            0.068342,              0.1073,            0.033181,           0.0079308,           0.0079308,            0.017931
                  13,            0.085709,             0.13411,             0.03718,             0.12953,             0.38121,             0.19357,            0.068533,            0.068342,              0.1073,            0.033181,           0.0084516,           0.0084516,            0.011452
                  14,            0.082819,              0.1337,            0.035719,             0.10648,             0.44048,             0.13824,            0.031874,            0.065583,             0.10514,            0.032693,            0.008614,            0.008614,            0.008614
                  15,            0.076954,             0.11787,            0.035803,             0.10648,             0.44048,             0.13824,            0.031874,            0.065583,             0.10514,            0.032693,            0.008614,            0.008614,            0.008614
                  16,            0.084511,             0.11885,            0.033289,            0.088292,             0.33929,             0.12494,            0.035736,            0.066139,             0.10778,            0.028428,            0.008515,            0.008515,            0.008515
                  17,            0.087564,             0.10997,            0.033379,            0.088292,             0.33929,             0.12494,            0.035736,            0.066139,             0.10778,            0.028428,            0.008416,            0.008416,            0.008416
                  18,            0.087052,             0.10426,            0.033653,            0.088292,             0.33929,             0.12494,            0.035736,            0.066139,             0.10778,            0.028428,            0.008317,            0.008317,            0.008317
                  19,            0.086516,             0.10247,            0.033046,            0.090398,             0.43304,             0.13093,            0.034745,            0.065399,             0.10719,            0.028656,            0.008218,            0.008218,            0.008218
                  20,            0.088985,              0.1078,            0.029006,            0.090398,             0.43304,             0.13093,            0.034745,            0.065399,             0.10719,            0.028656,            0.008119,            0.008119,            0.008119
                  21,            0.080844,               0.111,            0.028922,            0.090193,             0.55234,              0.2324,             0.08669,            0.058096,            0.091068,            0.025759,             0.00802,             0.00802,             0.00802
                  22,             0.08144,             0.11104,            0.031182,            0.090193,             0.55234,              0.2324,             0.08669,            0.058096,            0.091068,            0.025759,            0.007921,            0.007921,            0.007921
                  23,            0.078254,             0.11936,            0.029709,             0.35393,              0.3125,             0.23392,              0.1313,            0.056151,            0.080279,            0.021379,            0.007822,            0.007822,            0.007822
                  24,             0.07566,             0.11478,            0.028317,             0.35393,              0.3125,             0.23392,              0.1313,            0.056151,            0.080279,            0.021379,            0.007723,            0.007723,            0.007723
                  25,            0.066963,             0.10186,             0.02785,             0.35879,             0.47098,             0.15284,            0.054168,            0.060502,            0.077373,            0.021961,            0.007624,            0.007624,            0.007624
                  26,            0.072834,            0.089262,            0.025835,             0.35879,             0.47098,             0.15284,            0.054168,            0.060502,            0.077373,            0.021961,            0.007525,            0.007525,            0.007525
                  27,              0.0747,             0.10626,             0.02686,             0.35879,             0.47098,             0.15284,            0.054168,            0.060502,            0.077373,            0.021961,            0.007426,            0.007426,            0.007426
                  28,            0.075205,             0.10933,            0.027715,             0.39462,             0.51947,              0.2262,              0.0968,            0.056888,            0.072974,            0.020918,            0.007327,            0.007327,            0.007327
                  29,            0.073843,             0.11299,             0.02756,             0.39462,             0.51947,              0.2262,              0.0968,            0.056888,            0.072974,            0.020918,            0.007228,            0.007228,            0.007228
                  30,            0.071097,             0.10405,             0.02535,             0.48105,              0.4565,             0.45171,             0.13574,            0.059931,            0.067221,            0.022626,            0.007129,            0.007129,            0.007129
                  31,            0.072731,             0.10451,            0.025791,             0.48105,              0.4565,             0.45171,             0.13574,            0.059931,            0.067221,            0.022626,             0.00703,             0.00703,             0.00703
