               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12056,             0.11429,            0.051008,           0.0011792,              0.0625,           0.0012234,          0.00012234,             0.13231,            0.068141,            0.053648,              0.0001,              0.0001,              0.0991
                   1,             0.11853,             0.12759,             0.05103,           0.0011521,              0.0625,           0.0010267,          0.00010267,             0.13069,            0.069769,            0.053256,          0.00029901,          0.00029901,            0.097299
                   2,             0.11713,              0.1126,            0.050407,           0.0081967,             0.20536,           0.0056275,           0.0011924,             0.12728,            0.072796,            0.052384,           0.0004967,           0.0004967,            0.095497
                   3,             0.11234,             0.10337,            0.051026,           0.0074383,             0.20536,           0.0059084,           0.0015465,             0.12235,            0.076962,            0.051152,          0.00069307,          0.00069307,            0.093693
                   4,             0.10923,             0.13178,            0.048922,           0.0090453,             0.16071,           0.0089956,           0.0025697,             0.11659,            0.081851,            0.049812,          0.00088812,          0.00088812,            0.091888
                   5,             0.10349,             0.13307,            0.048207,            0.012148,             0.30357,            0.019672,           0.0056431,             0.11038,            0.086714,            0.048362,           0.0010819,           0.0010819,            0.090082
                   6,             0.10278,              0.1148,            0.048061,            0.012897,             0.32143,            0.023991,           0.0087892,              0.1029,            0.091856,            0.046406,           0.0012743,           0.0012743,            0.088274
                   7,            0.095162,             0.14271,            0.045775,            0.015814,             0.52679,            0.041509,            0.011556,            0.094025,            0.096289,            0.044014,           0.0014653,           0.0014653,            0.086465
                   8,            0.090182,             0.15566,            0.044235,            0.016528,             0.35714,            0.033756,           0.0096049,            0.089102,            0.098183,            0.042772,           0.0016551,           0.0016551,            0.084655
                   9,            0.092467,             0.14568,            0.043484,            0.029535,             0.92857,              0.0511,            0.022025,            0.084018,            0.099889,            0.041131,           0.0018436,           0.0018436,            0.082844
                  10,            0.089828,             0.13141,            0.041803,            0.029653,             0.84821,             0.11578,            0.032265,            0.078885,             0.10126,            0.039449,           0.0020307,           0.0020307,            0.081031
                  11,            0.088234,             0.15438,             0.04082,            0.090654,             0.19643,             0.21555,            0.065955,            0.074819,             0.10123,            0.037574,           0.0022165,           0.0022165,            0.079217
                  12,            0.084357,             0.14186,            0.040543,             0.16198,                0.25,             0.21524,            0.093746,            0.072824,            0.099888,            0.036096,            0.002401,            0.002401,            0.077401
                  13,            0.083991,             0.14539,            0.038379,             0.20225,              0.3125,             0.27398,             0.12011,              0.0715,             0.10031,            0.034726,           0.0025842,           0.0025842,            0.075584
