               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11892,             0.11214,              0.0496,           0.0065766,             0.19863,            0.028429,           0.0086658,             0.12328,            0.074806,            0.052198,              0.0008,              0.0008,              0.0928
                   1,             0.10786,             0.12523,             0.04845,           0.0094396,             0.38435,            0.029236,           0.0090721,             0.10705,            0.086778,            0.050706,           0.0016916,           0.0016916,            0.084692
                   2,            0.096336,             0.13297,            0.046972,            0.022432,              0.6833,            0.097467,            0.015769,            0.089033,            0.098418,            0.047913,           0.0025743,           0.0025743,            0.076574
                   3,            0.087545,             0.15795,            0.043884,            0.087496,             0.34433,             0.15721,            0.036959,            0.069641,             0.10064,            0.046364,            0.003448,            0.003448,            0.068448
                   4,            0.082966,             0.14131,            0.042094,             0.19713,             0.30378,              0.2643,             0.08745,            0.067211,             0.12333,            0.041283,           0.0043129,           0.0043129,            0.060313
                   5,            0.077833,             0.11757,            0.038995,            0.079445,              0.5625,             0.16253,            0.074976,            0.066249,             0.19072,            0.036549,           0.0051688,           0.0051688,            0.052169
                   6,            0.074678,              0.1095,            0.038632,             0.66613,             0.15741,              0.1866,            0.094553,            0.080617,             0.17329,            0.033232,           0.0060159,           0.0060159,            0.044016
                   7,            0.086011,            0.096551,            0.037086,            0.033757,             0.44815,            0.041518,            0.017535,              0.1068,              0.1185,             0.03147,            0.006854,            0.006854,            0.035854
                   8,              0.1093,            0.077643,            0.037227,             0.24244,             0.22787,              0.2212,             0.15764,             0.09179,            0.039516,            0.032529,           0.0076832,           0.0076832,            0.027683
                   9,            0.097981,             0.10895,            0.035933,             0.45725,              0.6307,             0.55286,             0.38953,            0.078664,            0.061789,            0.029766,           0.0085035,           0.0085035,            0.019504
                  10,            0.085666,             0.14363,            0.036104,             0.45421,             0.77476,             0.62467,             0.42409,            0.069742,            0.068622,            0.027431,           0.0093149,           0.0093149,            0.011315
