               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10893,             0.13147,            0.052171,           0.0041885,             0.02963,           0.0025344,          0.00042002,             0.10902,             0.09645,            0.049904,              0.0008,              0.0008,              0.0928
                   1,              0.1029,             0.16532,            0.051195,           0.0071242,             0.18603,            0.025831,           0.0067444,             0.10104,             0.10158,            0.049428,           0.0016916,           0.0016916,            0.084692
                   2,            0.094787,             0.14208,            0.049624,             0.32558,             0.19157,             0.12699,            0.023344,            0.088006,             0.11116,            0.048507,           0.0025743,           0.0025743,            0.076574
                   3,            0.087108,             0.15021,            0.047761,             0.10469,             0.29658,             0.19007,            0.073607,            0.078826,             0.11637,            0.044821,            0.003448,            0.003448,            0.068448
                   4,            0.079598,             0.13983,            0.045566,            0.067607,             0.62944,             0.12276,            0.027003,            0.070178,                0.17,            0.042797,           0.0043129,           0.0043129,            0.060313
                   5,            0.071641,             0.12959,             0.04285,             0.24795,             0.45667,             0.11431,            0.038978,            0.073858,             0.21895,            0.039679,           0.0051688,           0.0051688,            0.052169
                   6,            0.080123,             0.10816,            0.040388,             0.28587,             0.32519,             0.10581,            0.060413,            0.098424,              0.1529,            0.036546,           0.0060159,           0.0060159,            0.044016
                   7,            0.094395,             0.09695,            0.038809,             0.58793,             0.34433,             0.44081,              0.3229,            0.086679,             0.10526,            0.034975,            0.006854,            0.006854,            0.035854
                   8,            0.088709,             0.11659,            0.037252,            0.015599,              0.4194,            0.013243,           0.0038954,            0.072321,             0.10337,            0.035819,           0.0076832,           0.0076832,            0.027683
                   9,            0.080842,             0.15815,            0.036659,             0.49511,             0.14615,             0.22273,            0.060647,            0.067128,            0.096198,             0.04021,           0.0085035,           0.0085035,            0.019504
                  10,            0.078491,             0.13571,            0.036538,             0.21511,             0.32274,            0.017178,           0.0071813,            0.097559,             0.24002,            0.045996,           0.0093149,           0.0093149,            0.011315
                  11,             0.10912,             0.14574,            0.034225,             0.24359,             0.33665,             0.20371,              0.1236,            0.066577,             0.10902,            0.041951,           0.0094555,           0.0094555,           0.0094555
                  12,            0.081477,             0.16478,            0.035406,             0.43581,             0.71359,             0.58231,             0.38328,            0.060566,             0.12939,            0.036094,           0.0094555,           0.0094555,           0.0094555
                  13,             0.07269,             0.19187,            0.033729,             0.50535,             0.64566,             0.54385,             0.24674,            0.059811,             0.13233,            0.033571,            0.009406,            0.009406,            0.009406
                  14,            0.063551,             0.16179,             0.03243,             0.58068,             0.72351,             0.75401,             0.54079,            0.053904,             0.12772,            0.030825,           0.0093565,           0.0093565,           0.0093565
                  15,            0.065368,             0.14159,            0.031421,             0.60882,             0.68208,             0.78572,             0.55532,            0.051012,             0.12454,            0.029211,            0.009307,            0.009307,            0.009307
                  16,            0.060966,             0.14501,            0.030232,             0.51376,             0.86926,             0.74185,             0.41282,            0.050376,             0.14422,            0.028179,           0.0092575,           0.0092575,           0.0092575
                  17,            0.057977,              0.1201,            0.030776,             0.50266,             0.83431,               0.747,             0.42706,            0.046277,             0.15434,            0.027952,            0.009208,            0.009208,            0.009208
                  18,            0.055883,             0.11261,            0.029774,              0.2609,             0.91193,             0.57763,             0.23232,            0.063804,            0.099767,            0.027374,           0.0091585,           0.0091585,           0.0091585
                  19,            0.073594,            0.089109,            0.030156,            0.071064,             0.35717,             0.14797,            0.072451,            0.091615,              0.1259,            0.026969,            0.009109,            0.009109,            0.009109
                  20,             0.08834,            0.086868,            0.029868,              0.4236,             0.65524,             0.50104,             0.29158,            0.075092,             0.10645,            0.025371,           0.0090595,           0.0090595,           0.0090595
                  21,            0.086952,             0.11669,             0.02893,             0.28773,             0.90136,             0.58061,             0.17476,            0.072822,             0.13221,            0.025131,             0.00901,             0.00901,             0.00901
